t_rel_s,event,detail
0.0,load_start,"2.0 rps streaming, model=glm-4.7"
4.03,inject,"{""latency_ms"": 2600.0, ""error_rate"": 0.0}"
16.17,detected,INC-0006: model-api-a breaching serving SLO — 50% of recent requests
16.17,quarantined,traffic spilled to healthy pool
16.2,cleared,fault removed — agent must now verify
24.32,resolved,MTTR 8.1s (agent=True)
